303.31567,0.00166
303.34548,0.00149
303.37529,9.38E-04
303.4051,4.94E-04
303.43491,0
303.46471,0.00174
303.49442,0.00236
303.52423,8.09E-04
303.55404,6.84E-04
303.58385,0.00147
303.61355,0.00319
303.64336,0.00226
303.67317,0.00184
303.70298,0.0016
303.73269,0.00126
303.7625,0.00163
303.79231,7.81E-04
303.82201,0.00114
303.85182,5.66E-04
303.88163,5.54E-04
303.91134,4.72E-04
303.94115,0.00185
303.97085,0.00376
304.00066,0.00423
304.03047,0.00441
304.06018,0.00439
304.08999,0.00342
304.11969,0.00209
304.1495,0.00229
304.17921,0.00146
304.20902,1.74E-04
304.23873,2.14E-04
304.26853,5.54E-04
304.29824,0.00179
304.32805,0.00162
304.35776,0.00324
304.38747,0.00478
304.41727,0.00292
304.44698,0.00221
304.47679,3.50E-04
304.5065,2.12E-04
304.53621,9.64E-04
304.56601,0.00122
304.59572,3.47E-04
304.62543,7.62E-04
304.65524,0.00104
304.68495,0.00196
304.71465,0.00271
304.74436,0.00349
304.77417,0.0048
304.80388,0.00849
304.83358,0.0072
304.86329,0.00264
304.8931,0.00109
304.92281,0.00354
304.95252,0.00397
304.98222,0.00361
305.01193,0.00298
305.04164,0.00197
305.07145,0.00126
305.10115,0.0012
305.13086,5.98E-04
305.16057,0.00102
305.19028,0.00138
305.21998,0.00688
305.24969,0.01196
305.2794,0.01098
305.30911,0.00487
305.33881,0.00213
305.36852,0.00127
305.39823,0.00116
305.42794,0.00147
305.45764,0.00148
305.48735,0.00229
305.51706,0.00212
305.54677,0.0017
305.57647,0.00182
305.60618,0.00279
305.63589,0.00363
305.6655,0.00683
305.6952,0.01357
305.72491,0.01536
305.75462,0.01375
305.78433,0.0062
305.81403,0.00436
305.84364,0.00463
305.87335,0.00469
305.90306,0.0045
305.93276,0.00356
305.96237,0.00318
305.99208,0.00371
306.02178,0.00448
306.05149,0.00485
306.0811,0.00591
306.11081,0.00694
306.14051,0.00946
306.17012,0.01402
306.19983,0.02116
306.22943,0.02545
306.25914,0.04259
306.28885,0.10804
306.31846,0.17946
306.34816,0.21339
306.37777,0.17946
306.40748,0.15
306.43708,0.14643
306.46679,0.14643
306.4965,0.11071
306.5261,0.11607
306.55571,0.15179
306.58542,0.13482
306.61503,0.09375
306.64473,0.11429
306.67434,0.18036
306.70405,0.23482
306.73365,0.23214
306.76326,0.22143
306.79297,0.23839
306.82257,0.26071
306.85228,0.23393
306.88189,0.16071
306.91149,0.13214
306.9412,0.16071
306.97081,0.24375
307.00041,0.26964
307.03002,0.1875
307.05973,0.09911
307.08934,0.07714
307.11894,0.12054
307.14855,0.21964
307.17815,0.25536
307.20786,0.16429
307.23747,0.08286
307.26707,0.05509
307.29668,0.03982
307.32629,0.03446
307.35589,0.0642
307.3856,0.09732
307.41521,0.09911
307.44481,0.07679
307.47442,0.0725
307.50403,0.06357
307.53363,0.03679
307.56324,0.02563
307.59285,0.02991
307.62245,0.07009
307.65206,0.11429
307.68167,0.1125
307.71127,0.07911
307.74088,0.12768
307.77049,0.31696
307.80009,0.45357
307.8297,0.3625
307.8592,0.1625
307.88881,0.12143
307.91842,0.3
307.94802,0.51875
307.97763,0.50179
308.00724,0.27679
308.03674,0.14554
308.06635,0.27321
308.09596,0.62679
308.12556,0.75
308.15517,0.50179
308.18467,0.20089
308.21428,0.10714
308.24389,0.19464
308.27339,0.37679
308.303,0.40179
308.33261,0.25268
308.36221,0.14554
308.39172,0.10714
308.42132,0.12768
308.45083,0.27054
308.48044,0.3625
308.51004,0.28214
308.53955,0.18571
308.56915,0.27857
308.59866,0.37054
308.62827,0.31786
308.65777,0.24643
308.68738,0.27946
308.71688,0.24464
308.74649,0.12589
308.77599,0.06357
